t=2026-06-14T21:39:17+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-14T21:39:17+0530 lvl=info msg="using configuration at default config path" path=/home/aryan-budukh/.config/ngrok/ngrok.yml
t=2026-06-14T21:39:17+0530 lvl=info msg="open config file" path=/home/aryan-budukh/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T21:39:17+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T21:39:17+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T21:39:17+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T21:39:17+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T21:40:10+0530 lvl=info msg="join connections" obj=join id=5861355abf3c l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:33200
t=2026-06-14T21:40:16+0530 lvl=info msg="join connections" obj=join id=c0022eaf5a67 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:33202
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=e3d7760bb021 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=225ae29481e2 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=d78e51dbf3cf l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=8e9e6b118dae l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=bd625acd999b l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=7542ebb3cc58 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=40948b772079 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=f5a93f5e2859 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=62ee1be6f2e9 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=81ccdaa2c018 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=57119b731c2f l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=e66850ee3ac3 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=eafdcc281c18 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=bbb91def0f94 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=3d3f8e9819d1 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=0219abef6085 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=b004e3ee077f l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=e376cae1110f l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=19150dffe0f5 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=afc9d741e7a4 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:20+0530 lvl=info msg="join connections" obj=join id=b323d6289f52 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:49663
t=2026-06-14T21:40:21+0530 lvl=info msg="join connections" obj=join id=4dc50b8c2cad l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:42114
t=2026-06-14T21:40:21+0530 lvl=info msg="join connections" obj=join id=3317d8675030 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:19909
t=2026-06-14T21:40:22+0530 lvl=info msg="join connections" obj=join id=a037b5c2f1c7 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:64489
t=2026-06-14T21:40:23+0530 lvl=info msg="join connections" obj=join id=3a477e7f22ed l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:41919
t=2026-06-14T21:40:24+0530 lvl=info msg="join connections" obj=join id=786d4dd220bf l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:47166
t=2026-06-14T21:40:25+0530 lvl=info msg="join connections" obj=join id=2a6c0f22068e l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20749
t=2026-06-14T21:40:26+0530 lvl=info msg="join connections" obj=join id=aee372beb8ad l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:42122
t=2026-06-14T21:40:31+0530 lvl=info msg="join connections" obj=join id=ccaca42863e5 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:64299
t=2026-06-14T21:40:31+0530 lvl=info msg="join connections" obj=join id=fd63ff1f0f34 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:41212
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=3efcd1623436 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=4c6554c65bf9 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=c4a1e2d94945 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=ba8687f127a7 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=36eca8865514 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=e0899ea026b6 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=eb81231aa0dd l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=4e26425cdc6e l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=56bd49181f06 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=7aabad420346 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=00c6d6cd31a5 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=986fb7967b74 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=22030763ff30 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=a636c889f75c l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=1f493b9feac8 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=4879c0930b5f l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:20298
t=2026-06-14T21:40:33+0530 lvl=info msg="join connections" obj=join id=157698f65f96 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:32000
t=2026-06-14T21:40:34+0530 lvl=info msg="join connections" obj=join id=970850789b42 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:35316
